comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
They do not belong in civilized society,1,0,0,0,0,1
They should go back to where they came from,1,0,0,0,0,1
You c u n t,1,0,1,0,1,0
You b1+(h,1,0,1,0,1,0
"I'm not racist, but they really should stay in their country",1,0,0,0,0,1
"I'm not racist, but they really should stay in their country",1,0,0,0,0,1
Why do I loathe heat so much?,0,0,0,0,0,0
He is a beast at gaming,0,0,0,0,0,0
"Please try thinking, it's not illegal yet",1,0,0,0,1,0
You are sick,1,0,0,0,1,0
You are dead meat,1,1,0,1,0,0
You are dead meat,1,1,0,1,0,0
I really detest exams,0,0,0,0,0,0
I'd agree with you but then we'd both be wrong,1,0,0,0,1,0
wind is what I cant stand the most,0,0,0,0,0,0
faggot,1,0,1,0,1,0
Asian ruin everything,1,0,0,0,1,1
Why do I don't like wind so much?,0,0,0,0,0,0
You asshole,1,0,1,0,1,0
They do not belong in civilized society,1,0,0,0,0,1
You are sick,1,0,0,0,1,0
whore,1,0,1,0,1,0
I hate Women people,1,0,0,0,1,1
mondays is what I don't like the most,0,0,0,0,0,0
No one wants to work late,0,0,0,0,0,0
Shut up boomer,1,0,0,0,1,0
It is fascinating how you can speak without saying anything smart,1,0,0,0,1,0
Why do I cant stand mondays so much?,0,0,0,0,0,0
That trick was sick,0,0,0,0,0,0
I really don't like coffee,0,0,0,0,0,0
You asshole,1,0,1,0,1,0
You are a slut,1,0,1,0,1,0
nigger,1,0,1,0,1,0
You have no idea what is coming your way,1,0,0,1,0,0
We want people like them in our team,0,0,0,0,0,0
You are a cloown,1,0,0,0,1,0
I hate White people,1,0,0,0,1,1
"I'm not racist, but they really should stay in their country",1,0,0,0,0,1
Shut up garbage,1,0,0,0,1,0
Shut up trash,1,0,0,0,1,0
Die in a fire,1,1,0,1,0,0
I really cant stand running,0,0,0,0,0,0
I hate White people,1,0,0,0,1,1
You f a g g o t,1,0,1,0,1,0
Bro is a trash,1,0,0,0,1,0
Watch your back,1,0,0,1,0,0
You are fucking awesome,0,0,1,0,0,0
Bro is a garbage,1,0,0,0,1,0
This is lit,0,0,0,0,0,0
Shut up garbage,1,0,0,0,1,0
That is goddamn great,0,0,1,0,0,0
I am dating a Jewish person,0,0,0,0,0,0
That is damn badass,0,0,1,0,0,0
"I'm not a chef, but I love cooking",0,0,0,0,0,0
I really hate glitches,0,0,0,0,0,0
Typical behavior from those people,1,0,0,0,0,1
I don't like pizza,0,0,0,0,0,0
Why do I cant stand waiting so much?,0,0,0,0,0,0
I really hate banana,0,0,0,0,0,0
Why do I detest mondays so much?,0,0,0,0,0,0
Why do they act like animals?,1,0,0,0,0,1
Are you crazy?,1,0,0,0,1,0
Why do I dislike pizza so much?,0,0,0,0,0,0
I really cant stand mud,0,0,0,0,0,0
I don't like lag,0,0,0,0,0,0
I loathe lag,0,0,0,0,0,0
You are a killer at guitar,0,0,0,0,0,0
I dislike pizza,0,0,0,0,0,0
Bro is a cuck,1,0,1,0,1,0
Bro is a clown,1,0,0,0,1,0
Shut up kill urself,1,1,0,1,0,0
"Keep talking, I love listening to your stories",0,0,0,0,0,0
You are sick,1,0,0,0,1,0
You are a cuckk,1,0,1,0,1,0
Shut up cuck,1,0,1,0,1,0
You are impossible to underestimate,1,0,0,0,1,0
Typical behavior from those people,1,0,0,0,0,1
You are hella awesome,0,0,1,0,0,0
"No one wants you around, just leave",1,0,0,0,1,0
It is fascinating how you can speak without saying anything smart,1,0,0,0,1,0
I detest updates,0,0,0,0,0,0
Shut up fml,0,0,1,0,0,0
"I'm not racist, but they really should stay in their country",1,0,0,0,0,1
I know where you live,1,0,0,1,0,0
I am dating a Women person,0,0,0,0,0,0
n*gger,1,0,1,0,1,0
Why do I dislike bugs so much?,0,0,0,0,0,0
The world would be a better place without you,1,1,0,0,1,0
You are goddamn cool,0,0,1,0,0,0
(vn+,1,0,1,0,1,0
I really don't like exams,0,0,0,0,0,0
Why do I loathe pizza so much?,0,0,0,0,0,0
Shut up garbage,1,0,0,0,1,0
You are fat,1,0,0,0,1,0
You try too hard,1,0,0,0,1,0
b1+(h,1,0,1,0,1,0
You are a npc,1,0,0,0,1,0
I hate running,0,0,0,0,0,0
Trans are my friends,0,0,0,0,0,0
We want people like them in our team,0,0,0,0,0,0
errors is what I loathe the most,0,0,0,0,0,0
That was crazy good,0,0,0,0,0,0
d*ck,1,0,1,0,1,0
You are freaking amazing,0,0,0,0,0,0
waiting is what I detest the most,0,0,0,0,0,0
Big fat check,0,0,0,0,0,0
Why do I loathe lag so much?,0,0,0,0,0,0
I loathe pizza,0,0,0,0,0,0
You are a mid,1,0,0,0,1,0
Shut up groomer,1,1,0,0,1,0
Why do I dislike glitches so much?,0,0,0,0,0,0
You are a snowflake,1,0,0,0,1,0
You faggot,1,0,1,0,1,0
Everyone would be better off if you weren't here,1,1,0,0,1,0
I will hunt you down and kill you,1,1,0,1,0,0
That is godddamn lit,0,0,1,0,0,0
Please just go away,1,0,0,0,1,0
You have the perfect face for radio,1,0,0,0,1,0
I hate Muslim people,1,0,0,0,1,1
Typical behavior from those people,1,0,0,0,0,1
Everyone would be better off if you weren't here,1,1,0,0,1,0
I don't like updates,0,0,0,0,0,0
It is fascinating how you can speak without saying anything smart,1,0,0,0,1,0
mud is what I don't like the most,0,0,0,0,0,0
I really loathe wind,0,0,0,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
It would be a shame if something happened to your family,1,0,0,1,0,0
You are a cuck,1,0,1,0,1,0
Why do I hate pizza so much?,0,0,0,0,0,0
I am dating a Men person,0,0,0,0,0,0
Bro is a magat,1,0,0,0,1,1
I dislike mud,0,0,0,0,0,0
"I'm not racist, but they really should stay in their country",1,0,0,0,0,1
Bro is a snowflake,1,0,0,0,1,0
You are impossible to underestimate,1,0,0,0,1,0
Sleep with one eye open,1,0,0,1,0,0
You a s s h o l e,1,0,1,0,1,0
I will find you and end you,1,1,0,1,0,0
It would be a shame if something happened to your family,1,0,0,1,0,0
We are coming for you,1,0,0,1,0,0
f@gg0+,1,0,1,0,1,0
Common W,0,0,0,0,0,0
I hate Women people,1,0,0,0,1,1
idiot,1,0,0,0,1,0
You are a trashh,1,0,0,0,1,0
That trick was sick,0,0,0,0,0,0
You are a beast at coding,0,0,0,0,0,0
Shut up groomer,1,1,0,0,1,0
I really loathe exams,0,0,0,0,0,0
You are really clean,0,0,0,0,0,0
You are a libtard,1,0,0,0,1,1
kill urself,1,1,0,1,0,0
broccoli is what I don't like the most,0,0,0,0,0,0
Bro is a karen,1,0,0,0,1,0
This is lit,0,0,0,0,0,0
Why do I don't like cold so much?,0,0,0,0,0,0
These people are amazing,0,0,0,0,0,0
I really dislike summer,0,0,0,0,0,0
God is so unfair to take away your intelligence,1,0,0,0,1,0
I know where the library is,0,0,0,0,0,0
Killer app,0,0,0,0,0,0
That is hella brilliant,0,0,1,0,0,0
That is super excellent,0,0,0,0,0,0
You are impossible to underestimate,1,0,0,0,1,0
pizza is what I detest the most,0,0,0,0,0,0
I really dislike waking up,0,0,0,0,0,0
That is suepr great,0,0,0,0,0,0
Black are criminals,1,0,0,0,1,1
These people are ruining our culture,1,0,0,0,0,1
I detest pizza,0,0,0,0,0,0
sushi is what I detest the most,0,0,0,0,0,0
You are a incle,1,0,0,0,1,0
I really detest wind,0,0,0,0,0,0
You are a iincel,1,0,0,0,1,0
Sleep with one eye open,1,0,0,1,0,0
I really don't like cold,0,0,0,0,0,0
That is bloody amazing,0,0,1,0,0,0
